Area [cm^2], start Voltage, Stop Voltage, Step Voltage
7.850000E-3	0.000000E+0	-2.400000E+1	5.000000E-1
0.000000	2.923000E-11	0.000231	1.440982E+14	2.960000E-5
-0.500000	2.471000E-11	0.000273	2.440585E+14	2.110000E-5
-1.000000	2.163000E-11	0.000312	2.254367E+14	1.600000E-5
-1.500000	1.930000E-11	0.000349	2.106303E+14	1.290000E-5
-2.000000	1.752000E-11	0.000385	2.011529E+14	1.060000E-5
-2.500000	1.610000E-11	0.000419	1.930698E+14	9.000000E-6
-3.000000	1.494000E-11	0.000451	1.919299E+14	7.800000E-6
-3.500000	1.402000E-11	0.000481	1.927527E+14	7.000000E-6
-4.000000	1.324000E-11	0.000509	1.916577E+14	6.200000E-6
-4.500000	1.258000E-11	0.000536	1.921360E+14	5.700000E-6
-5.000000	1.201000E-11	0.000561	1.961311E+14	5.300000E-6
-5.500000	1.153000E-11	0.000584	1.994361E+14	5.100000E-6
-6.000000	1.110000E-11	0.000607	2.000536E+14	4.800000E-6
-6.500000	1.072000E-11	0.000629	2.123103E+14	4.500000E-6
-7.000000	1.041000E-11	0.000647	2.181654E+14	4.300000E-6
-7.500000	1.011000E-11	0.000667	2.145384E+14	4.200000E-6
-8.000000	9.840000E-12	0.000685	2.211572E+14	4.000000E-6
-8.500000	9.600000E-12	0.000702	2.274039E+14	3.800000E-6
-9.000000	9.380000E-12	0.000718	2.210859E+14	3.800000E-6
-9.500000	9.160000E-12	0.000736	2.164144E+14	3.600000E-6
-10.000000	8.960000E-12	0.000752	2.239170E+14	3.500000E-6
-10.500000	8.780000E-12	0.000768	2.216660E+14	3.500000E-6
-11.000000	8.600000E-12	0.000784	2.213477E+14	3.300000E-6
-11.500000	8.440000E-12	0.000798	2.291014E+14	3.300000E-6
-12.000000	8.290000E-12	0.000813	2.239449E+14	3.200000E-6
-12.500000	8.140000E-12	0.000828	2.280036E+14	3.100000E-6
-13.000000	8.010000E-12	0.000841	2.331195E+14	3.000000E-6
-13.500000	7.880000E-12	0.000855	2.219484E+14	3.000000E-6
-14.000000	7.750000E-12	0.000870	2.296410E+14	2.900000E-6
-14.500000	7.640000E-12	0.000882	2.390895E+14	2.800000E-6
-15.000000	7.530000E-12	0.000895	2.289075E+14	2.800000E-6
-15.500000	7.420000E-12	0.000908	2.299215E+14	2.700000E-6
-16.000000	7.320000E-12	0.000921	2.313259E+14	2.600000E-6
-16.500000	7.220000E-12	0.000933	2.341493E+14	2.600000E-6
-17.000000	7.130000E-12	0.000945	2.375422E+14	2.600000E-6
-17.500000	7.040000E-12	0.000957	2.286581E+14	2.500000E-6
-18.000000	6.950000E-12	0.000970	2.334511E+14	2.500000E-6
-18.500000	6.870000E-12	0.000981	2.390648E+14	2.400000E-6
-19.000000	6.790000E-12	0.000992	2.467485E+14	2.300000E-6
-19.500000	6.720000E-12	0.001003	2.557224E+14	2.400000E-6
-20.000000	6.650000E-12	0.001013	2.478128E+14	2.400000E-6
-20.500000	6.580000E-12	0.001024	2.591329E+14	2.300000E-6
-21.000000	6.520000E-12	0.001034	2.509554E+14	2.300000E-6
-21.500000	6.450000E-12	0.001045	2.440847E+14	2.200000E-6
-22.000000	6.390000E-12	0.001055	2.565239E+14	2.200000E-6
-22.500000	6.330000E-12	0.001065	2.493647E+14	2.200000E-6
-23.000000	6.270000E-12	0.001075	2.423399E+14	2.100000E-6
-23.500000	6.210000E-12	0.001085	2.354483E+14	2.100000E-6
-24.000000	6.150000E-12	0.001096	-9.101152E+12	2.100000E-6
