Area [cm^2], start Voltage, Stop Voltage, Step Voltage
7.850000E-3	0.000000E+0	-2.400000E+1	5.000000E-1
0.000000	3.661000E-12	0.001841	3.017923E+12	2.729000E-5
-0.500000	3.576000E-12	0.001884	2.704066E+13	2.483000E-5
-1.000000	3.464000E-12	0.001945	2.053055E+13	2.278000E-5
-1.500000	3.339000E-12	0.002018	1.634329E+13	2.076000E-5
-2.000000	3.198000E-12	0.002107	1.170191E+13	1.865000E-5
-2.500000	3.017000E-12	0.002234	7.334953E+12	1.617000E-5
-3.000000	2.774000E-12	0.002429	3.500307E+12	1.287000E-5
-3.500000	2.375000E-12	0.002837	1.497944E+12	8.350000E-6
-4.000000	1.865000E-12	0.003613	9.443772E+11	3.800000E-6
-4.500000	1.530000E-12	0.004404	1.143738E+12	2.130000E-6
-5.000000	1.423000E-12	0.004736	2.268035E+12	1.780000E-6
-5.500000	1.372000E-12	0.004912	3.693016E+12	1.690000E-6
-6.000000	1.339000E-12	0.005033	5.111118E+12	1.640000E-6
-6.500000	1.316000E-12	0.005121	6.766403E+12	1.610000E-6
-7.000000	1.299000E-12	0.005188	8.968295E+12	1.590000E-6
-7.500000	1.287000E-12	0.005236	1.145895E+13	1.570000E-6
-8.000000	1.277000E-12	0.005277	1.450434E+13	1.550000E-6
-8.500000	1.270000E-12	0.005306	1.726394E+13	1.540000E-6
-9.000000	1.263000E-12	0.005336	1.830807E+13	1.530000E-6
-9.500000	1.257000E-12	0.005361	2.349153E+13	1.510000E-6
-10.000000	1.253000E-12	0.005378	3.320102E+13	1.510000E-6
-10.500000	1.250000E-12	0.005391	3.288419E+13	1.500000E-6
-11.000000	1.246000E-12	0.005408	3.264789E+13	1.490000E-6
-11.500000	1.243000E-12	0.005421	3.776941E+13	1.480000E-6
-12.000000	1.240000E-12	0.005435	3.749660E+13	1.480000E-6
-12.500000	1.237000E-12	0.005448	3.722510E+13	1.470000E-6
-13.000000	1.234000E-12	0.005461	5.556762E+13	1.460000E-6
-13.500000	1.233000E-12	0.005465	5.516365E+13	1.460000E-6
-14.000000	1.230000E-12	0.005479	3.659671E+13	1.450000E-6
-14.500000	1.227000E-12	0.005492	5.462808E+13	1.440000E-6
-15.000000	1.226000E-12	0.005497	1.087236E+14	1.430000E-6
-15.500000	1.225000E-12	0.005501	7.221659E+13	1.440000E-6
-16.000000	1.223000E-12	0.005510	7.203981E+13	1.420000E-6
-16.500000	1.222000E-12	0.005515	7.168710E+13	1.430000E-6
-17.000000	1.220000E-12	0.005524	5.356737E+13	1.420000E-6
-17.500000	1.218000E-12	0.005533	5.330436E+13	1.410000E-6
-18.000000	1.216000E-12	0.005542	7.081038E+13	1.410000E-6
-18.500000	1.215000E-12	0.005546	1.058233E+14	1.410000E-6
-19.000000	1.214000E-12	0.005551	1.055623E+14	1.400000E-6
-19.500000	1.213000E-12	0.005556	1.053016E+14	1.400000E-6
-20.000000	1.212000E-12	0.005560	1.050414E+14	1.380000E-6
-20.500000	1.211000E-12	0.005565	1.047816E+14	1.390000E-6
-21.000000	1.210000E-12	0.005569	6.959503E+13	1.380000E-6
-21.500000	1.208000E-12	0.005579	1.042633E+14	1.380000E-6
-22.000000	1.208000E-12	0.005579	2.077516E+14	1.380000E-6
-22.500000	1.207000E-12	0.005583	2.077516E+14	1.370000E-6
-23.000000	1.207000E-12	0.005583	1.034891E+14	1.370000E-6
-23.500000	1.205000E-12	0.005592	6.890682E+13	1.360000E-6
-24.000000	1.204000E-12	0.005597	-3.426788E+11	1.360000E-6
